"image_id","image_name","roi_id","shape_id","type","z","t","channel","area (µm²)","length (µm)","points","min","max","sum","mean","std_dev","Text","Points","counts_CD3+ CD4- CD8- TCRgd-","counts_CD3+ CD4+ TCRgd- CD8-","counts_CD3+ CD8+ TCRgd- CD4-","counts_CD3+ TCRgd+ CD4- CD8-","counts_NA","area_um2"
42598,"RE_IBD_20221220_B18-150-1_B17-31592-1_B18-150-1_B17-31592-1_Scan1.ome.tiff [resolution #1]",36312,40158,"polyline",NA,NA,NA,NA,242.811,NA,NA,NA,NA,NA,NA,"MUC6_region3b","19840.58,53028.09 19840.78,53006.01 19845.68,52993.94 19862.75,52978.63 19888.85,52942.89 19919.46,52913.00 19936.81,52905.02 19969.87,52904.06 19987.70,52910.64 19998.63,52919.68 20004.61,52946.35 20004.75,52969.10 20001.98,52977.60 19984.50,53005.23 19953.52,53030.75 19923.00,53043.64 19895.44,53044.54 19845.24,53037.22 19841.19,53032.82 19840.86,53025.30",0,0,1,0,2,3992.35469150543
42598,"RE_IBD_20221220_B18-150-1_B17-31592-1_B18-150-1_B17-31592-1_Scan1.ome.tiff [resolution #1]",36313,40159,"polyline",NA,NA,NA,NA,265.514,NA,NA,NA,NA,NA,NA,"MUC6_region3c","19749.15,53184.08 19749.79,53153.64 19759.20,53116.97 19773.81,53094.23 19811.80,53055.54 19820.76,53049.89 19847.63,53042.45 19897.62,53048.59 19899.82,53103.08 19870.24,53136.07 19831.14,53207.07 19816.83,53227.55 19804.77,53234.23 19791.48,53234.74 19772.36,53225.27 19763.37,53213.47 19755.01,53188.58",1,0,0,0,1,4587.94561100006
42598,"RE_IBD_20221220_B18-150-1_B17-31592-1_B18-150-1_B17-31592-1_Scan1.ome.tiff [resolution #1]",36314,40160,"polyline",NA,NA,NA,NA,375.201,NA,NA,NA,NA,NA,NA,"MUC6_region3d","19803.63,53331.64 19809.31,53285.19 19817.68,53249.28 19856.77,53173.96 19872.51,53155.06 19895.08,53142.14 19920.03,53141.30 19949.23,53156.37 19975.71,53159.69 19990.72,53171.17 19993.98,53181.94 19993.92,53202.01 19978.77,53239.50 19969.50,53248.59 19957.00,53248.09 19944.28,53241.09 19933.72,53316.03 19923.42,53350.78 19907.48,53376.04 19892.45,53385.16 19862.72,53387.46 19843.90,53384.70 19822.09,53375.45 19809.21,53354.24 19808.84,53318.46 19809.77,53323.64 19809.41,53328.94 19808.07,53334.10 19802.97,53334.58 19802.54,53329.54",1,0,0,1,0,7452.39720582962
42598,"RE_IBD_20221220_B18-150-1_B17-31592-1_B18-150-1_B17-31592-1_Scan1.ome.tiff [resolution #1]",36315,40161,"polyline",NA,NA,NA,NA,244.252,NA,NA,NA,NA,NA,NA,"control_region3a","19620.49,53053.85 19651.75,53030.69 19674.94,53007.02 19697.84,52963.75 19701.68,52931.17 19688.00,52913.01 19677.52,52906.33 19638.88,52902.66 19608.18,52913.08 19574.65,52934.84 19556.18,52963.27 19552.00,52983.23 19551.87,53006.36 19559.41,53027.83 19570.28,53043.44 19585.25,53055.21 19605.30,53061.37 19622.12,53058.29 19630.90,53047.86",2,0,3,0,5,4153.02497291565
42598,"RE_IBD_20221220_B18-150-1_B17-31592-1_B18-150-1_B17-31592-1_Scan1.ome.tiff [resolution #1]",36316,40162,"polyline",NA,NA,NA,NA,669.645,NA,NA,NA,NA,NA,NA,"control_region3b","19971.86,53112.90 19951.55,53138.63 19949.69,53148.36 19984.68,53157.93 19997.85,53166.64 20005.66,53177.85 20005.73,53208.17 19977.22,53263.24 19977.62,53268.66 19982.49,53271.99 20002.08,53273.88 20030.08,53257.04 20049.82,53238.57 20100.47,53209.87 20168.74,53148.97 20200.06,53042.64 20269.93,53024.91 20320.51,53024.05 20382.12,53004.49 20397.49,52991.11 20405.12,52979.63 20408.54,52967.90 20404.62,52951.44 20377.57,52924.64 20343.88,52917.52 20286.62,52919.45 20254.37,52907.93 20231.43,52909.28 20169.30,52929.66 20132.26,52948.03 20110.40,52972.85 20088.39,53039.86 20072.97,53063.58 20008.42,53085.97 19971.17,53114.84",3,0,3,0,4,15398.5509624481
42598,"RE_IBD_20221220_B18-150-1_B17-31592-1_B18-150-1_B17-31592-1_Scan1.ome.tiff [resolution #1]",36317,40163,"polyline",NA,NA,NA,NA,641.312,NA,NA,NA,NA,NA,NA,"MUC6_region1a","18470.92,14596.39 18473.69,14550.44 18462.67,14527.82 18461.75,14465.54 18469.92,14415.71 18492.88,14336.00 18492.05,14236.22 18520.14,14189.89 18572.02,14141.69 18580.44,14136.90 18595.65,14134.50 18624.18,14138.19 18651.15,14152.92 18669.23,14172.62 18669.71,14240.86 18682.85,14265.26 18688.69,14284.84 18690.11,14339.10 18676.75,14371.00 18659.73,14425.76 18649.12,14480.91 18630.11,14508.81 18622.51,14514.09 18609.69,14517.03 18588.66,14510.68 18582.01,14505.74 18570.34,14483.61 18571.85,14531.40 18559.66,14571.72 18544.09,14599.70 18515.93,14624.28 18495.74,14626.00 18484.27,14618.38 18476.75,14603.80 18473.95,14560.00",3,0,7,14,21,18627.0477089882
42598,"RE_IBD_20221220_B18-150-1_B17-31592-1_B18-150-1_B17-31592-1_Scan1.ome.tiff [resolution #1]",36318,40164,"polyline",NA,NA,NA,NA,211.475,NA,NA,NA,NA,NA,NA,"MUC6_region1b","18697.04,14572.54 18683.44,14557.47 18673.48,14531.18 18676.23,14505.04 18686.38,14482.21 18732.31,14441.91 18762.83,14433.99 18784.82,14433.48 18791.26,14446.04 18791.73,14471.45 18746.79,14554.54 18732.61,14567.24 18714.60,14577.57 18706.02,14577.48 18695.03,14572.12 18686.60,14559.18",0,0,1,0,5,2718.35049748421
42598,"RE_IBD_20221220_B18-150-1_B17-31592-1_B18-150-1_B17-31592-1_Scan1.ome.tiff [resolution #1]",36319,40165,"polyline",NA,NA,NA,NA,530.952,NA,NA,NA,NA,NA,NA,"MUC6_region1c","18962.56,14008.52 18979.68,14009.12 19022.94,14022.19 19033.09,14026.77 19036.73,14032.64 19036.39,14040.10 18949.75,14092.96 19014.96,14135.40 19025.19,14087.59 19034.37,14062.45 19053.95,14029.10 19070.88,14009.27 19081.17,14001.97 19098.80,14002.09 19122.41,14020.48 19124.88,14030.48 19098.68,14058.95 19075.78,14102.36 19061.82,14151.96 19038.93,14183.89 19019.43,14201.57 18988.02,14218.87 18966.52,14226.81 18936.64,14227.89 18904.07,14216.35 18879.98,14193.95 18872.43,14174.95 18871.09,14144.92 18883.18,14097.29 18893.72,14075.30 18919.40,14046.31 18957.75,14013.21 18969.76,14008.30",1,0,3,7,19,8169.11128044128
42598,"RE_IBD_20221220_B18-150-1_B17-31592-1_B18-150-1_B17-31592-1_Scan1.ome.tiff [resolution #1]",36320,40166,"polyline",NA,NA,NA,NA,231.184,NA,NA,NA,NA,NA,NA,"MUC6_region1d","18544.32,14677.12 18538.12,14661.83 18537.17,14647.85 18572.72,14561.73 18587.16,14544.30 18608.98,14528.02 18632.73,14525.30 18645.86,14531.07 18657.13,14545.70 18660.08,14577.39 18649.68,14610.62 18631.97,14641.83 18604.28,14671.42 18578.19,14693.08 18559.51,14695.28 18553.78,14692.59 18544.69,14682.91 18537.47,14666.13",0,0,0,0,2,3262.06464624405
42598,"RE_IBD_20221220_B18-150-1_B17-31592-1_B18-150-1_B17-31592-1_Scan1.ome.tiff [resolution #1]",36321,40167,"polyline",NA,NA,NA,NA,305.226,NA,NA,NA,NA,NA,NA,"control_region1a","18907.58,14381.88 18962.28,14289.46 18977.40,14273.98 19002.32,14258.92 19018.37,14254.99 19038.44,14255.89 19069.69,14275.74 19088.70,14299.78 19095.21,14327.84 19095.61,14343.88 19071.85,14383.91 19024.42,14437.69 18977.58,14460.89 18949.85,14464.67 18929.66,14450.47 18909.80,14403.50 18908.38,14372.53",0,0,3,4,3,6485.13253939152
42598,"RE_IBD_20221220_B18-150-1_B17-31592-1_B18-150-1_B17-31592-1_Scan1.ome.tiff [resolution #1]",36322,40168,"polyline",NA,NA,NA,NA,238.931,NA,NA,NA,NA,NA,NA,"control_region1b","19051.50,14536.03 19041.42,14509.59 19040.20,14475.16 19047.18,14448.85 19058.82,14426.99 19089.17,14391.78 19121.72,14380.31 19131.85,14380.44 19146.20,14386.65 19165.38,14404.70 19171.37,14447.70 19164.97,14473.39 19144.03,14513.04 19120.88,14541.27 19096.61,14551.51 19082.16,14551.86 19048.35,14531.28",0,0,1,1,2,4072.89088106155
42578,"RE_IBD_20221220_BU18-19563-3_BU18-19563-3_Scan1.ome.tiff [resolution #1]",38560,42410,"polyline",NA,NA,NA,NA,287.717,NA,NA,NA,NA,NA,NA,"MUC6_region1","29995.39,32260.44 30054.04,32240.84 30064.82,32241.58 30070.57,32246.07 30071.48,32256.78 30052.72,32304.16 30029.74,32331.11 30049.29,32346.07 30070.29,32354.60 30094.11,32333.89 30112.73,32305.66 30128.97,32257.15 30129.78,32230.45 30120.53,32217.02 30088.76,32196.04 30045.66,32196.03 30010.22,32207.62 29993.68,32217.95 29990.48,32235.96 29992.10,32261.34 29998.29,32258.33 29999.66,32260.65 29997.57,32261.27",0,2,0,0,3,2990.68783044815
42578,"RE_IBD_20221220_BU18-19563-3_BU18-19563-3_Scan1.ome.tiff [resolution #1]",38561,42411,"polyline",NA,NA,NA,NA,272.53,NA,NA,NA,NA,NA,NA,"control_region1","29991.09,32262.73 29981.76,32221.85 29973.54,32223.55 29950.61,32241.15 29937.06,32261.93 29934.60,32261.19 29925.08,32299.27 29925.20,32333.81 29948.56,32364.73 29975.80,32386.76 30019.48,32396.83 30041.09,32396.63 30060.15,32381.29 30073.74,32360.10 30026.70,32334.37 29999.16,32334.28 29978.05,32324.10 29972.10,32310.04 29970.84,32293.07 29975.67,32279.15 29989.89,32264.73 29990.74,32260.06",0,0,0,0,0,2791.01705884933
42590,"RE_IBD_20221220_BU18-19563-4_BU18-19563-4_Scan1.ome.tiff [resolution #1]",36232,40078,"polyline",NA,NA,NA,NA,219.668,NA,NA,NA,NA,NA,NA,"MUC6_region1","29131.82,31248.32 29136.76,31206.92 29150.49,31179.72 29160.80,31172.56 29183.18,31167.11 29201.52,31169.13 29220.24,31182.67 29238.77,31215.39 29247.64,31243.68 29246.42,31293.59 29240.54,31303.28 29224.36,31312.10 29213.48,31328.46 29196.24,31328.98 29165.91,31302.31 29144.56,31276.16 29135.33,31260.30 29131.69,31245.58",2,3,0,0,2,3434.6241414547
42590,"RE_IBD_20221220_BU18-19563-4_BU18-19563-4_Scan1.ome.tiff [resolution #1]",36281,40127,"polyline",NA,NA,NA,NA,509.511,NA,NA,NA,NA,NA,NA,"control_region1","29378.14,31200.91 29337.46,31123.07 29335.66,31059.95 29340.33,31008.77 29349.39,30971.06 29354.82,30920.73 29370.66,30901.96 29378.16,30897.69 29388.09,30897.38 29406.16,30906.18 29432.50,30924.93 29488.46,30989.18 29520.96,31041.61 29591.51,31139.41 29601.05,31163.02 29602.78,31202.84 29598.71,31219.92 29586.82,31242.25 29565.39,31266.59 29549.47,31275.46 29524.37,31283.71 29478.07,31286.39 29456.05,31279.67 29429.27,31259.77 29379.02,31198.06",0,0,0,0,5,16548.2933254242
42590,"RE_IBD_20221220_BU18-19563-4_BU18-19563-4_Scan1.ome.tiff [resolution #1]",36282,40128,"polyline",NA,NA,NA,NA,282.149,NA,NA,NA,NA,NA,NA,"MUC6_region2a","29987.31,32944.84 29988.95,32909.82 30002.53,32856.58 30013.58,32825.02 30022.83,32812.79 30045.07,32810.99 30071.21,32816.85 30082.32,32823.25 30111.71,32849.81 30125.41,32883.32 30126.05,32936.32 30109.78,32967.99 30103.58,32990.25 30090.80,33007.72 30062.88,33022.04 30043.22,33023.36 30031.28,33018.81 29996.19,32977.10 29989.56,32961.67 29987.08,32940.68",1,3,0,0,3,5634.15561008453
42590,"RE_IBD_20221220_BU18-19563-4_BU18-19563-4_Scan1.ome.tiff [resolution #1]",36283,40129,"polyline",NA,NA,NA,NA,466.804,NA,NA,NA,NA,NA,NA,"MUC6_region2b","30218.24,32712.66 30214.39,32666.64 30196.23,32648.69 30176.97,32645.49 30170.08,32649.32 30156.62,32671.30 30147.08,32679.78 30142.94,32712.87 30135.35,32712.01 30115.11,32699.14 30094.44,32699.13 30085.71,32702.02 30073.44,32715.08 30070.41,32749.36 30082.15,32768.27 30092.41,32775.32 30101.95,32779.73 30147.97,32784.57 30186.17,32811.45 30198.71,32811.97 30226.53,32803.53 30234.00,32804.59 30254.35,32837.81 30286.87,32874.36 30299.22,32882.79 30317.57,32884.29 30351.96,32869.13 30335.12,32838.77 30270.07,32757.78 30245.58,32749.63 30235.90,32750.15 30224.65,32757.96 30213.18,32759.68 30190.16,32752.56 30183.89,32739.33 30183.07,32720.50 30185.85,32718.71 30206.81,32725.47 30218.25,32715.55 30217.15,32707.39",0,6,0,0,2,5889.6245174408
42590,"RE_IBD_20221220_BU18-19563-4_BU18-19563-4_Scan1.ome.tiff [resolution #1]",36284,40130,"polyline",NA,NA,NA,NA,405.029,NA,NA,NA,NA,NA,NA,"control_region2a","30234.97,33650.42 30253.72,33633.23 30270.41,33610.56 30278.64,33584.51 30285.35,33516.24 30274.66,33476.04 30239.81,33416.57 30201.15,33375.58 30150.23,33361.92 30130.88,33361.77 30114.65,33366.42 30094.01,33384.87 30084.70,33401.70 30069.98,33461.93 30069.84,33489.32 30074.98,33510.63 30099.98,33577.32 30120.25,33607.24 30150.34,33631.01 30178.78,33645.77 30235.87,33645.25 30248.57,33638.58",2,4,1,0,8,11555.2056660652
