,source,target,weight,PMID
91,TP53,TP53,1,10072388;10082513;10082525;10097112;10101797;10206959;10207030;10207051;10208414;10213232;10233872;10340750;10400708;10505791;10516715;10557083;10559267;10602486;10602522;10606233;10606650;10698502;10747965;10753945;10890910;10969820;10980602;10990460;11007955;11032029;11072234;11127813;11158615;11169742;11175333;11259619;11313982;11375890;11375983;11382762;11382926;11423978;11429705;11481488;11557753;11591730;11675005;11714700;11781835;11791186;11798189;11807984;11852084;11871818;12024039;12080472;12164786;12170778;12217864;12372430;12374798;12402042;12431761;12433990;12444079;12692266;12748190;12750563;12824528;12918060;12925527;12942774;12944915;14520699;14610316;1465435;14710355;14712090;14722112;14743206;14985507;14990988;15019163;15024021;15044452;15077179;15153330;15242522;15289308;15489892;15496412;15509808;15540784;15548589;15574328;15734740;15798209;15860260;15908423;16107692;16158047;16230375;16244670;16301995;16343438;16462765;16479015;16492744;16557594;16636674;16642213;16738310;16828711;16849542;16855375;16929179;16990849;17072342;17186020;17245118;17264218;17317671;17344317;17377493;17442733;17513613;17533371;17555406;17569660;17634135;17685229;17762884;17805299;17845721;17878219;17909016;17942917;17942928;17993233;18022393;18053811;18303029;18336191;18374905;18377871;18419600;18505928;18555750;18556654;18632613;18698017;18922183;19015127;19037090;19075931;19086036;19107228;19124064;19135161;19147532;19204115;19229245;19244234;19357269;19465063;19558368;19580521;19602589;19638633;19718706;19776115;19776742;19837670;19882681;19930465;20093361;20124454;20139776;20167600;20185821;20190809;20197393;20198350;20225156;20331637;20428765;20505327;20569441;20576604;20588255;20607720;20647772;20659896;20689555;20797428;20805247;20886113;21042410;21042757;21071137;21285512;21348943;21552926;21556530;21617703;21655924;21862876;21887328;21914463;21924287;21941086;22032922;22074401;22075982;22178888;22203497;22266186;22266808;22266868;22391568;22427654;22445862;22498492;22532570;22576012;22611192;22777360;22787161;22796152;22805162;22862424;23035104;23100276;23148227;23165212;23178494;23291986;23967302;23982177;23995788;24040083;24134839;24183724;24231352;24330748;24333671;24696455;24737129;24788519;24799195;24802395;7478511;7494329;7556087;7623839;7651818;7684498;7700629;7824283;7969121;7995520;8051093;8090749;8117626;8242752;8247532;8247545;8299938;8382357;8388491;8405994;8514746;8521821;8570655;8630996;8645424;8647846;8695156;8756654;8892752;8892753;8932384;9105415;9191059;9242687;9268733;9315650;9343394;9449526;9649502;9677410;9707425;9724739;9774662;9839551;9841917;9844738;9858609;9890939;9926927
92,STAT3,PRF1,1,10072525
93,DBP,JTB,1,10073576
94,HLF,JTB,1,10073576
95,HLF,F8,1,10073576
96,PPARG,SERPINE2,1,10073956
97,PPARG,SERPINE1,-1,10073956;10329404;11230363;14581151;15990085;16843437;17906687;17995524;18278065
98,MAX,PDLIM7,-1,10074148;17546492
99,USF2,PDLIM7,1,10074148
100,IRF1,SAMHD1,1,10075021;10570299;11703094;11781315;12232043;12429737;12474233;16413538;18546154;20510882;20631312;21345967;23659673;7814871;9164960;9548487
101,IRF2,SAMHD1,1,10075021;11058120;18281489
102,IRF1,IFNG,1,10075021;10334391;10404391;10454342;10714548;10926836;11564890;11777545;12052885;12429737;12479817;12493643;12517966;12781715;13678429;1374362;14735146;14993214;15860458;16135520;16824573;16931033;17018642;17036321;17293456;19929594;20400850;20861350;23419754;23811275;7509445;7823961;9164960;9193655;9491997
103,IRF1,NOS2,1,10075021;10356322;10852612;10882409;11042347;11325839;11399519;12429737;12902503;16140971;16284791;17723228;19281374;19628072;20510882;23419754;7520478;9305901;9307029
104,IRF2,NOS2,-1,10075021
105,SP1,FASLG,1,10075666;10671224;10754388;11053446;11254710;11745351;11970950;12655294;14563113;15004200;15173177;15659839;17192273;18293083;20617570
106,SP3,FASLG,1,10075666
107,AR,PRKACA,1,10075669;12933667;15691881;9886819
108,AR,KLK3,1,10075669;10547578;10625666;10898343;11006269;11034093;11059779;11238180;11299734;11377978;11504717;11532861;11571582;11867260;11894840;11994312;12111703;12114445;12376473;12376534;12463425;12539223;12648523;12651911;12670590;12782640;12917209;12958311;14517289;14715080;14729601;14767470;15131260;15368351;15514031;15543614;15557561;15640095;15640443;15833875;15923603;16081584;16137620;16140973;16275987;16342680;16373397;16425097;16434977;16452400;16508948;16724108;16914734;17011549;17075604;17094454;17426252;17433535;17534890;17566103;17653089;18092350;18640093;18758709;18780293;18829551;19013180;19274665;19389135;20069563;20103546;20181722;20568894;20709811;21308712;21541973;21780100;21885566;21981678;22155408;22179832;22245379;22473899;22597536;22654108;22695118;23662037;23667504;23884959;24307657;7514587;7686046;8626436;9044850;9052414;9211894;9316650;9719026
109,AR,ARR3,1,10075669
110,CUX1,CFTR,1,10075672
111,ATF1,CFTR,1,10075672
112,KAT7,CFTR,1,10075672
113,CREBZF,GAST,1,10075714
114,SP1,GAST,1,10075714;10448078;10580833;10679190;10751319;14670968;15613302;17889508;21083750;22593272;2566164;7721790;7890769;8920679;8943318;9144414;9852054
115,GLI3,GLI1,1,10075717;12435627;14723851;16571352;19667090
116,NKX2-5,NPPA,1,10075728;11042197;11555635;12023302;12392994;12408979;12692125;14573514;14757752;15158141;15542826;15972800;17468179;17544441;17584735;17927564;18444963;20167925;21930795;8756621;9278441;9312027;9584153
117,GATA4,NPPA,1,10075728;10330176;11382775;11994297;14573514;15542826;16603706;17584735;19546173;20384792;20874724;20931527;9312027;9584153
118,TGFB1I1,AR,1,10075738;11532379;21515881
119,AR,TGFB1I1,1,16849583
120,RARB,MMP11,1,10075839
121,RARG,MMP11,1,10075839
122,RARB,RARG,-1,11173543;1649387;1650576
123,RARG,RARB,1,10075839;10929206;1310259;1650576
124,JUN,CCL5,1,10075858;10760799;11413310;19828633;20862675;26096887;7513046
125,RELA,CD40,1,10075983;11313274;17031478;19164127;9733827
126,RELA,IFNG,1,10075983;10227974;12105194;12757742;12759422;12842891;14662860;17035338;17407192;18690006;19732956;19929594;20643337;21224476;21243522;23195252;23667107;9374532
127,TEAD1,TGFA,1,10076050
128,TFAP2A,TGFA,1,10076050;11952158;18579641;9162057;9174059
129,PPARA,NR1D1,1,10076997
130,ESR2,RARA,1,10076999
131,ESR1,RARA,1,10076999;11038749;15831516;15870697;18414489;8300756;8732679;8912864;9626663
132,RARA,ESR1,1,9626663
133,NR3C1,IRS2,1,10077005
134,PGR,IRS2,1,10077005;14534541;18819936
135,NRG1,UTRN,1,10077665;10359616;11755781
136,NRG1,CHRNE,1,10077665;9099674
137,TBP,GTF2A1,1,10078202;10523649;10581267;10617594;10675336;10985861;16412700;1644819;18206971;7823952;7969171;8051080;8552077;8626665;8751448;9003783;9343426;9566876;9603936
138,GTF2A1,TBP,1,12818428
139,REL,NOS2,1,10079054;23646894;24360823;7537042
140,PAX6,KRT12,1,10079137;27818314;9856765
141,ISL1,NHLH1,1,10079519
142,RARA,KRAS,1,10080908
143,RUNX1,KRAS,1,10080908
144,ZBTB14,MYC,-1,10080939;10936031;8367294;9092617;9618270
145,MYB,EPO,1,10082121
146,MYC,EPO,1,10082121
147,SP1,NF1,1,10082137;10435592;11145742;11433027;12234688;12568725;14647436;18342022;18440323;2403642;8065328;8089200;9287317
148,TP53,EIF2AK2,1,10082513;19416861
149,PITX1,LHB,1,10082522;11328855;11518799;12011080;12063185;12598657;12700240;15469090;16055746;16087728;17337323;19106114;21571865;22865884;9514159
150,EGR1,LHB,1,10082522;10318795;10319325;10935547;11328855;11518799;11682622;11781541;11818496;12039067;14681221;14766009;15469090;16087728;16627584;17244763;17299135;17337323;17823254;19095772;19106114;19616057;20149866;22508984;22851703;22865884;24248462;8703054;9440815;9453238;9614069;9892016
151,EGR1,PRKCG,1,10082522;11149911;11336542;12694408;18062928;23091071
152,SP1,MYOD1,1,10082523;1662816;8120060
153,MYOD1,SP1,-1,10082523;1662816;9148896
154,FOS,TP53,1,10348347
155,TP53,FOS,-1,10082525;10214938;10529369;12173040;1508692;17174366;1946467;8604347;8649776;8668332
156,ETS2,BCL2L1,1,10082528;19179380;19411629
157,GTF2I,FOS,1,10082538;11313464;11934902;12082086;16611241;19097122;9584171
158,GTF2I,SMARCA4,1,10082538
159,SP1,FOS,1,10082538;17626239;9528985
160,YY1,FOS,-1,10082538;1508214;7494244;7565750;7769693;8276234;8423791
161,SP1,EGR1,1,10082539;10826704;12637574;18044710;20427719;8349585;9282327
162,EGR1,SP1,1,11956220;12637574;18044710;20204374;20427719
163,NR2F1,EGR1,1,10082539;24227652
164,BTAF1,TBP,-1,14988402;15509807;16858867;20627952
165,TBP,BTAF1,1,10082549
166,TBP,DNAH8,1,10082549
167,MYC,ENO1,1,10823814;11085504;12695333;1451920411085504;1451920411983916
168,ENO1,MYC,-1,10082554;10403782;10528225;10681589;10802057;11134351;14506152;17595061;18070418;18490439;19846662;2005901;20412594;20886042;21559732;23421821;7880838;9074493;9119380
169,TP53,CCND1,-1,10082575;10669755;11798189;12808109;15205322;16061648;17942917;18769160;19086036;19800042;20554748;20731879;22270849;24189068;24460719;8702807
170,IRF2,ABCC8,1,10082588
171,IRF2,SMC3,1,10082588
172,FOS,RHOA,1,10085083;15068801
173,JDP2,LGALS1,1,10085088
174,JUN,DCTN1,1,10085088
175,MAZ,PNMT,1,10085109;14573768
