,source,target,weight,PMID
8629,CEBPB,ORM1,1,15661831;16095699;1717823;7517869;8340393;8441418;8754826;9428795;9553145;9726249
8630,PPARA,ORM1,-1,15661831
8631,TBX10,VCAM1,1,15661928
8632,ESR2,VDR,1,15664452;17088408;17556531
8633,GTF2I,HSPA5,1,15664986;19097122;21503958
8634,STAT3,CSF3,1,15664994
8635,STAT1,TRIM63,1,15664995
8636,MLX,COL11A1,1,15664996
8637,KLF15,PPARG,1,15664998
8638,CREB3L1,HSPA5,1,15572842;15665855
8639,SP1,CXCL2,1,15666090
8640,NR2F1,PIAS1,1,15666827
8641,JUNB,CYP11B2,1,15666830;16461926
8642,HNF4A,VCAN,1,15668231;19269971;22252626
8643,CTCF,IRAK2,1,15670593
8644,TFAP2B,IRAK2,1,15670593
8645,ATF3,GDF15,1,15670751;16286461;20110283;23178451
8646,SP1,APOE,1,11229886;15670754;18467438;2188976
8647,ESRRA,SP1,1,15670765
8648,KMT2A,SET,1,15670842
8649,NCOA1,SELE,1,15671023
8650,DNMT1,RELN,-1,15671176;16113080;19029285
8651,CEBPA,CYP2A6,1,15671201
8652,CEBPB,CYP2A6,1,15671201
8653,HNF4A,CYP2A6,1,15671201;17978169
8654,POU2F1,CYP2A6,1,15671201
8655,HNF4A,ADGRG1,1,15674329
8656,TP53,RECQL4,1,15674334
8657,TAL1,FGFR1,1,15677454
8658,TAL1,KRT9,1,15677454
8659,STAT3,CDC25A,1,15677471
8660,STAT3,RB1,-1,15677471;23874455
8661,ELF1,CD44,1,15677713
8662,ELF1,HPS4,1,15677713
8663,ELF1,UCN,1,15677713
8664,GTF2I,CD44,1,15677713
8665,GTF2I,HPS4,1,15677713
8666,GTF2I,UCN,1,15677713
8667,SRY,HSPA1A,1,15680367
8668,TFDP3,ARHGEF15,-1,15681052
8669,CUX1,HPS5,1,15681052
8670,NFYA,HPS5,1,15681052
8671,HOXA9,CYBB,1,15681849
8672,HOXA10,HOXA9,1,15681849
8673,HOXA9,HOXA10,1,15681849
8674,POU2F2,IGHM,1,15682441
8675,ELF1,CAT,1,15683737
8676,NFATC2,IL21,1,15684054;15879595
8677,TBX21,IL21,1,15684054
8678,NFE2L2,TFB1M,1,15684387
8679,NFE2L2,TFB2M,1,15684387
8680,NRF1,TFB2M,1,15684387
8681,AR,HEY1,1,15684393
8682,HEY1,AR,1,15684393
8683,USF1,APOA5,1,15684402;15941710;18572192;20054229
8684,USF2,APOA5,1,15684402;15941710;18572192
8685,ELK3,CCND1,-1,15684718
8686,ELK3,DHFR,-1,15684718
8687,ELK3,FOS,-1,15548518;15684718;23063436;7958835
8688,MYB,CDKN1B,1,15687240
8689,MYB,CDK6,1,15687240
8690,FOSL1,CDKN2A,1,15688012
8691,JUN,CYP19A1,-1,15688015;16810058;19022561;21393445
8692,NCOA1,SERPINE1,1,15688032;16423881
8693,FOXO1,BMP4,1,15688035;16100571
8694,FOXQ1,BMP4,1,15688035
8695,PAX3,BMP4,1,15688035
8696,FOXO1,CNR1,-1,15688035;16690806
8697,FOXO1,EPHA2,1,15688035
8698,FOXO1,EPHA4,1,15688035
8699,PAX3,CNR1,1,15688035
8700,PAX3,EPHA2,1,15688035
8701,PAX3,EPHA4,1,15688035
8702,DNMT1,PML,1,15688037
8703,SP1,IL6,1,15688401;18502099;21518763;7499267
8704,TFCP2,SNRPN,1,15689352
8705,TFCP2,SNURF,1,15689352
8706,DNMT1,CISH,1,15691336
8707,DNMT1,PRM3,1,15691336
8708,SP1,TIMP2,1,10764764;15691353;16275157
8709,MBD1,SETDB1,-1,15327775;15691849;17066076
8710,USF1,SLC16A1,-1,15691871
8711,USF2,SLC16A1,-1,15691871
8712,ESR1,MACROD1,1,15691879;17893710;18206366;19403568
8713,SP1,MACROD1,1,15691879;18206366
8714,CREB1,KLK3,1,15691881
8715,HNF4A,SLC22A7,1,15692145
8716,HNF4A,NR1H4,1,15692145
8717,NR1H4,HNF4A,-1,11535594
8718,NR0B2,SLC22A7,-1,15692145
8719,NR1H4,SLC22A7,1,15692145
8720,SOX9,COL11A2,1,10980415;12783851;15694126;20940257
8721,CEBPD,MAPK14,1,15694370
8722,TBX3,TBX3,-1,15694670;21784138;22535523
8723,SMAD1,POMC,1,15695370
8724,HIF1A,IGF1,1,15695372;15930297;15968405;16682453
8725,ETS1,BMP4,1,15695386;19431154
8726,NKX2-2,MBP,1,15695521;19145069
8727,CUX1,STAT6,1,15695802
8728,NCOA2,GRIP1,1,15698540;16951146
8729,NCOA2,TNFRSF1A,1,15698540
8730,ESR1,CASP8AP2,1,15698540
8731,JUN,IL10,1,15699140;25567680;28100679
8732,JUNB,IL10,1,15699140;28100679
8733,JUNB,LARGE1,1,15699140
8734,RUNX1,HLA-E,1,15699141
8735,GATA3,KLRC1,1,15699146
8736,ZSCAN26,FOS,-1,1569959
8737,MBD2,MBD3L2,1,15701600
8738,NCOR1,CD44,1,15701601
8739,THRA,CD44,1,15701601
8740,NR4A1,RB1,1,15701640
8741,STAT5A,NTRK1,1,15702476
8742,YBX1,MMP12,1,15702969
8743,NFKB1,TNFSF15,1,15702971;23642711
8744,RELA,TNFSF15,1,15702971
8745,NKX3-2,RUNX2,-1,15703179;19306868
8746,OLIG1,MBP,1,15703389;18160645
8747,OLIG1,PLP1,1,15703389
8748,TBP,BDKRB1,1,15705059
8749,YY1,BDKRB1,1,15705059
8750,NKX3-1,CASP3,1,15705778;20599703;21850191;24961145
8751,NKX3-1,CASP9,1,15705778;24252419
8752,HIF1A,TPO,1,15705785;18473128
8753,TP63,HSPA4,1,15705872
8754,MEF2C,KDR,1,15705964
8755,PDX1,RIPK1,1,15706433
8756,PDX1,TKT,1,15706433
8757,SP1,TAT,1,15706661;2657100;7621073;9566873
8758,SP3,SOD2,1,15706661;15869407
8759,SP3,TAT,1,15706661;15869407
8760,SMAD7,FSHB,1,15707600
8761,SP3,KLK3,1,15708372
8762,SP1,CCNB1,-1,15710382;15737644;22036763
8763,RBPJ,PDLIM7,1,15710417;7988559
8764,RBPJ,ELAC2,1,15710417
8765,HMGA1,IFNG,1,15710911;7629508
8766,BCL6,STAT5A,1,22723377
8767,STAT5A,BCL6,-1,15711548;16819511;20124477;20498019;23716595
8768,HMGA1,RAG2,1,15713121
8769,ESR1,OPN1LW,1,15713531
8770,SATB1,IL2,1,15713622
8771,SATB1,TAT,1,15713622
8772,SP7,TAT,1,15713622
8773,TP63,IGFBP3,1,15713654;15781645
8774,TP73,IGFBP3,1,15713654
8775,E2F1,CDKN1B,1,15713665;19077036;21840777;22955272;23393547
8776,FOS,IL3,1,1571552;7579683;8454603
8777,JUN,IL3,1,1571552;7579683;7642615;8228815;8454603
8778,NFIC,AFP,1,15716018
8779,FOXD1,SERPINE1,1,15716278
8780,SMAD6,SERPINE1,1,15716278
8781,OVOL1,ID2,1,15716349
8782,PPARA,GSK3B,1,15716483
8783,SSRP1,ISYNA1,1,15716495
8784,TBP,ISYNA1,1,15716495;15861138
8785,SREBF1,PTGS2,1,15716578
8786,MITF,CDKN1A,1,15716956;19067971;1999537;20067556
8787,GFI1B,GFI1B,1,15718298;16177182;19522008;19773260;23308270
8788,KLF2,MCL1,1,15718498;18599869
8789,KLF2,NOS3,1,15718498;15834135;16043642;18218985;20551324;22178876;22987017
8790,KLF2,SERPINE1,-1,15718498;17194892;23723375
8791,KLF2,THBD,1,15718498;16043642;17244683;19661484;20947822
8792,TBP,CHMP4A,1,15719021
8793,SREBF2,HMGCS2,1,15721010
8794,SMAD1,VEGFA,1,15721310
8795,SMAD5,VEGFA,-1,15721310;22964636
8796,RELA,CXCL2,1,12914794;14597166;15132979;15666090;15722553;16166378;17363596;17449583;18362169;21507677;24634218;27076634;27889620;28266569
8797,RELA,NAF1,1,15722553
8798,FOXA2,IBSP,1,15722554
8799,FOXQ1,IBSP,1,15722554
8800,HOXA1,IBSP,1,15722554
8801,HOXA1,RHOB,1,15722554
8802,KLF5,IBSP,1,15722554
8803,SOX17,IBSP,1,15722554
8804,CEBPG,LRP6,1,15722556
8805,CEBPB,LRP6,1,15722556
8806,CEBPB,LRPAP1,1,15722556
8807,CEBPG,CREBBP,1,15722556
8808,LEF1,LEF1,1,15728254;24394665
8809,PITX2,LEF1,1,15728254;17785445;20816801
8810,LEF1,PITX2,1,19850024;20960542
8811,DLX5,WNT10B,1,15728361
8812,SP7,WNT10B,1,15728361
8813,BARX2,BARX2,1,15728386
8814,STAT3,MAF,1,15728480
8815,AHR,BTK,1,15728486
8816,AHR,CD2,1,15728486
8817,NFKB1,EBI3,1,15728491;24214980;9733827
8818,RELA,EBI3,1,15728491;19556516;9733827
8819,SPI1,EBI3,1,15728491
8820,HSF2,PRKACA,1,15731115
8821,HSF2,ROS1,1,15731115
8822,ZNF436,SMARCA4,1,15731117
8823,AR,CFLAR,1,15731171;16720717
8824,SP1,HSD17B7,1,15731358
8825,SP1,SKAP2,1,15731358
8826,E2F1,PPP1R13B,1,15706352;15731768;21479363
8827,E2F2,PPP1R13B,1,15731768
8828,E2F2,TP53BP2,1,15592436;15731768
8829,E2F3,PPP1R13B,1,15731768
8830,E2F3,TP53BP2,1,15592436;15731768
8831,TP53,TP53BP2,1,15731768;15969767;19246451
8832,GATA3,IL1RL1,1,15733533
8833,HOXD13,CASP8AP2,1,15733672
8834,HOXD13,HOXA13,1,15733672
8835,HOXD13,NGEF,1,15733672
8836,NR1D1,PPARG,-1,18227153
8837,PPARG,NR1D1,1,12821652;15733732
8838,CTCF,CSNK2A2,1,15733852
8839,SNAI2,BRCA2,-1,15734731;18990703
8840,BACH1,NQO1,-1,15734732;19897490
8841,TP73,TERT,-1,15734740;16205639;16234237;22496369
8842,TP53,TRIAP1,1,15735003
8843,DNMT1,IL3,-1,15735013
8844,DNMT1,RUNX1,1,15735013
8845,DNMT1,RUNX1T1,1,15735013
8846,ATF7,TAF12,1,15735663
8847,TAF12,ATF7,1,17264123
8848,KLF2,MAGEE1,1,15735666
8849,KLF2,WEE1,-1,15735666;21382345
8850,KLF6,WEE1,1,15735666
8851,SP1,WEE1,1,15735666
8852,LITAF,GADD45A,1,15735726
8853,EWSR1,STYXL1,1,15735734
8854,FLI1,STYXL1,1,15735734
8855,MYC,PML,1,15735755
8856,E2F1,MT1G,1,15731768;15735762
8857,EGR1,VEGFA,1,15517885;15737464;19526316;20489156;9049304
8858,JARID2,MYH14,1,15737621
8859,JARID2,MYH6,-1,15737621;18805276
8860,MEF2A,MYH6,1,15737621;9111345
8861,TP73,CCNB1,-1,15737644
8862,JUN,CCNA2,1,15574764;15737994;17182846;20531301;21029732;21069729;23385061;9486962;9511728
8863,USF1,PRKG1,1,15741164
8864,USF2,PRKG1,1,15741164
8865,RUNX1,MPL,1,15741216;18687690
8866,DNMT1,HAL,1,15741241
8867,NFATC2,LGALS4,1,15743762
8868,NFATC2,MAPK8,1,15743762
8869,NFATC2,NFATC2,1,15743762;17463169;21452283;21964595
8870,TFAP2B,PTGDS,1,15743775;17574780
8871,MEF2C,SUB1,1,15743821
8872,EGR1,APP,1,15743889;19326468
8873,MEF2D,CD44,1,15744350
8874,MEF2D,DAZAP1,1,15744350
8875,MEF2D,MEF2D,1,15744350;24390737
8876,NR4A3,NR4A3,1,15746358;16901967;17596136;20558821;24022864
8877,MAF,IL10,1,15749884;19090621;19414776;19564345;20676092;20676095;28166218
8878,RUNX1,TRB,1,15749889
8879,NFKB1,NFKBID,1,15749903
8880,TP63,KRT5,1,15750631;17626181;18927586;19461998
8881,TP63,TERT,1,15750631;22496369
8882,YBX1,MVP,1,15750632
8883,TP53,DIDO1,1,15750633
8884,EGR2,BGLAP,1,15751078
8885,CEBPG,DDIT4,1,15751966;16008523;19439225
8886,ELK1,DDIT4,1,15751966;16008523
8887,CEBPA,CES1,1,15752068;18305377
8888,KAT7,WT1,1,15752709
8889,MYB,WT1,1,15752709;18064385
8890,WT1,MYB,-1,7559553
8891,STAT3,CCL11,1,15753898;19265112;20169197
8892,HMGA2,RHO,1,15755872
8893,RELA,NFKB2,1,15755876;7541912;9056676;9528780
8894,REST,GRIN2B,-1,15755907
8895,ETV4,MMP14,1,15756447;17475671;18425363
8896,RUNX3,ABCB1,-1,15756676
8897,RUNX3,ABCC1,-1,15756676
8898,RUNX3,BCL2,-1,15756676
8899,SP1,KCTD13,-1,15757666
8900,TFAP2A,KCTD13,1,15757666;19115315
8901,RELA,GDF15,1,15757899
8902,HOXA5,PTN,1,15757903
8903,NCOR1,BMAL1,1,15761026
8904,SP1,HBEGF,1,15761212;19201846;22641673
8905,PPARA,LEP,-1,15764598;21598253
8906,PPARG,LEP,1,15764598;19689798;19954946;20473515;23254958;9030601
8907,TFAP2A,ADIPOQ,1,15764598;21345437;23381555
8908,RUNX2,BMP2,1,15765505
8909,RXRA,EPO,1,11297512;15766748;21138976
8910,ATF2,PPARGC1A,-1,15767263;19491401;23443926
8911,MYC,CD5,1,15767564
8912,TBPL1,NF1,1,15767669
8913,TBP,FOS,1,15767669
8914,TBP,NF1,-1,15767669
8915,TBPL1,FOS,-1,15767669
8916,NR5A1,TMPRSS11D,1,15767781
8917,E2F1,CCNE2,1,15767783
8918,MBD2,OPRD1,1,12890683;15769948
8919,MBD2,MBD2,1,15769948;22048253;22876037;24204564
8920,MZF1,PKD1,1,15770226
8921,SP1,PKD1,1,15770226;17890878;18922886
8922,ZNF148,PKD1,1,15770226
8923,FOS,PTGS2,1,11278336;12057991;15772294;17440114;17556653;8906578;9620167
8924,E2F3,IL6,1,15772702
8925,E2F3,PIK3R1,1,15772702
8926,MNX1,IL6,1,15772702
8927,MNX1,PIK3R1,1,15772702
8928,MNX1,MNX1,1,15772702
8929,BMAL1,PRL,1,15774559
8930,KLF11,INS,1,15774581;17479246;18199129;18593768;19122346;20060466;21592955;22801105
8931,KLF11,CAT,1,15774581
8932,CREB1,GRIN2B,1,15774772;16313514;22364833;23012887
8933,CDX2,ALPI,1,15774940
8934,CDX1,IAPP,1,15774940
8935,CDX2,IAPP,1,15774940
8936,SSRP1,IAPP,1,15774940
8937,ATF4,TRIB3,1,15775988;15781252;18408768;18940792;20592469;21068199;21220698
8938,TRIB3,ATF4,-1,15781252;17707795
8939,DDIT3,TRIB3,1,15775988;16949670;18940792;19164449;19566842;21068199
8940,PAX3,PARP1,1,15777284
8941,CEBPB,TFF1,-1,15777639
8942,TFAP2A,CKB,1,15777731
8943,MYB,HSPA5,1,15778089
8944,IRF2,TAP1,1,15778351
8945,STAT4,CD4,1,15087447;15637551;15778369;17306571;17339437;18606704;19324016
8946,STAT6,SOCS3,1,15778369
8947,RUNX3,KIR3DL1,-1,15778373
8948,CEBPB,CYP3A4,1,15778453
8949,HIVEP1,SPEN,1,15778499
8950,CEBPG,CSN1S1,1,15778982
8951,CEBPG,PRL,1,15778982;16227626
8952,STAT5A,CSN1S1,1,15778982;16293640;17170087
8953,DNMT1,CSN1S1,1,15778982
8954,DNMT1,PRL,1,15778982;7538957
8955,BMAL1,SLC9A3,1,15780093
8956,CLOCK,SLC9A3,1,15780093
8957,SP1,ETV2,1,15780752
8958,HIF1A,MMUT,1,15780936
8959,MYC,HIF1A,-1,12695333;18632605
8960,HIF1A,MYC,-1,15780936;18616527;19845622;20404562;21303984;23059786
8961,SP1,HIF1A,1,19801684
8962,HIF1A,SP1,-1,15780936;19934262
8963,MYC,MMUT,1,15780936
8964,SP1,MMUT,1,15780936
8965,TP53,MMUT,1,15780936
8966,RFXAP,SMARCA4,1,15781111
8967,RORA,ARG1,1,15781255
8968,RORA,APOA5,1,15781255;15790933;16448983
8969,SP3,KNTC1,1,15781457
8970,CRX,ALDH7A1,1,15781457
8971,TBX3,CDKN2A,-1,11748239;15300007;15781639;17265068;17630961;18025091;18245468;18356246;20624445;22039763;25211658
8972,YY1,DNAJB4,1,15782117;17510411;21345358
8973,FLI1,PTPN13,1,15782144
8974,EWSR1,L1CAM,1,15782144
8975,EWSR1,PTPN13,1,15782144
8976,FLI1,L1CAM,1,15782144
8977,FLI1,PTPN1,1,15782144
8978,CEBPB,SLC5A5,1,15785238;18682709
8979,EGR1,APEX1,1,15788231;18324520
8980,SP1,GSTK1,1,15790310
8981,SP1,HPGDS,1,15790310;8557630
8982,SP3,GSTK1,1,15790310
8983,SP3,HPGDS,1,15790310
8984,TP53,GSTK1,1,15790310;17077087
8985,TP53,HPGDS,1,15790310
8986,NFE2L2,CASP1,1,15790560
8987,NFE2L2,NFE2,1,15790560;24613345
8988,AHR,NFE2L2,1,15790560
8989,NFE2L2,AHR,1,17709388
8990,NONO,SNCA,1,15790595
8991,MNX1,INS,1,15790780;23419452
8992,FOS,SPP1,1,15790955;16491116;17360982;17413042
8993,NR1H3,SPP1,1,15790955;23085633
8994,ETS1,REN,1,15792957
8995,PBX1,REN,1,15792957
8996,PKNOX1,REN,1,15792957
8997,HOXD10,REN,1,15792957
8998,NEUROD1,NNAT,1,15793245
8999,ELF3,PTGS2,1,15794755
9000,ENO1,HSPA4,1,15794924
9001,ENO1,JUN,1,15794924
9002,ENO1,LCT,1,15794924
9003,ENO1,PGK1,1,15794924
9004,HIF1A,JUN,1,15794924
9005,HIF1A,LDHA,1,15794924;16319523;19828020;8089148;8955077;9632793;9746763;9748288
9006,HIF1A,PGK1,1,15794924;18024476;19828020;8089148
9007,JUN,LDHA,1,15794924;9723176
9008,TP63,PERP,1,15797384;15970683;21965674
9009,RUNX2,CSN2,1,15798204
9010,MEF2A,JPH2,1,15798210
9011,JUN,TNFRSF1B,1,15798216;9743209
9012,JUN,RASGRF1,1,15798216
9013,MAX,OPRK1,1,15800190
9014,MXD1,OPRK1,1,15800190
9015,NCOR2,ESR1,1,15802375;17591692;23015261
9016,NR3C1,FAS,1,15289452;15590983;15802531
9017,SP1,FGF4,1,15803454
9018,SP3,FGF4,1,15803454
9019,IRF5,IFNA1,1,11303025;12138184;12600985;15805103;17301153;18824541;20935208;21133648
9020,TP73,BDKRB2,1,15805112
9021,ENO1,CCND1,1,15805119
9022,ENO1,MAP2K5,1,15805119
9023,E4F1,RASSF1,1,15805267
9024,E4F1,CD44,1,15805267
9025,HIF1A,PIK3C3,1,15806152;15833446;16618748;16682453
9026,KLF4,CCNE1,-1,15806166
9027,TBX21,TBX21,1,15806396;15991363;16301649;19923223
9028,MYC,CHUK,1,15808510
9029,NCOA3,CHUK,1,15808510
9030,TAF1,SLC2A1,1,15808844
9031,SP1,CXCL12,1,15808852;19745163;21465475;23098564;23246486
9032,CEBPB,ID2,1,15809228
9033,ELK1,FZD8,1,15809770
9034,PAX4,FZD8,1,15809770
9035,CEBPA,SAA2,1,15812237;9570146
9036,CEBPB,SAA2,1,15812237;8244997;9570146
9037,CEBPD,SAA2,1,15812237;9570146
9038,NFKB1,SAA2,1,15812237;8244997;9570146
9039,RELA,SAA2,1,15812237;8244997;9570146
9040,MYOD1,ACTB,1,1581290
9041,MYOD1,MYL2,1,1581290;8589760
9042,SP1,AKR1C3,1,15814298
9043,SP3,AKR1C3,1,15814298
9044,NFIC,SCT,1,15816857
9045,SP3,NFIC,1,15816857
9046,SP4,SCT,1,15816857
9047,EGR1,CXCL12,1,15816868
9048,EGR1,SELE,1,15816868
9049,SP1,SLC6A3,1,15816870
9050,SP3,SLC6A3,1,15816870
9051,ZNF263,RELN,1,15816871
9052,HNF4A,MMP7,1,15000152;15817151;20028760;22232518
9053,EZH2,DAB2IP,-1,15817459
9054,FOXM1,LAMA4,1,15817462
9055,FOXO1,BAX,1,15632117;15817464
9056,NR1H4,ICAM1,1,15817812
9057,FLI1,CCNE1,1,15818598
9058,EWSR1,CCNE1,1,15818598
9059,SP1,CCNE1,1,15818598;16516150
9060,AHR,UGT1A7,1,15820101
9061,DNMT1,CYP1A1,1,15820101;17682057
9062,DNMT1,UGT1A7,1,15820101
9063,AHR,SDHB,1,15820101
9064,NR1H4,UGT2B7,1,15821044
9065,ESRRG,ESRRA,1,15821111;17157980
9066,PPARG,ESRRA,1,15821111;20519122
9067,ESRRG,ESRRG,1,15821111;21757507;21911493;23977052;24466039
9068,AR,FKBP5,1,11867260;15821585;16210365;17142810;19433513;20048054;20610535;21809344
9069,FOXO4,BCL2L11,1,15824087;21858169
9070,HOXB3,HOXB2,1,1582411
9071,HOXB2,HOXB3,1,1582411
9072,VDR,ABCC3,1,15824121
9073,CDX2,HEPH,1,15825077
9074,SP1,ITGA5,1,15825163;18775869;22227038;24130169
9075,TCF3,DLD,1,15826912
9076,TCF3,SULT2A1,1,15826912
9077,NR3C1,CSF2,1,11509589;15826950
9078,NR3C1,IL5,1,15826950;18028994
9079,RUNX2,FGFR2,1,15829502;19259985;22972545
9080,TWIST1,FGFR2,1,15829502;20564211;22972545
9081,NR0B1,DHH,1,15829514
9082,NR5A1,DHH,1,15829514
9083,CEBPD,PI3,1,15829559
9084,DDIT3,PI3,1,15829559
9085,DDIT3,CCL2,1,15829559;18649942
9086,TP53,PDLIM7,1,15829976;22266808
9087,JUN,BGLAP,1,15831452;17308994;2124710;9257196
9088,JUN,NACA,1,15831452
9089,NR5A2,POU5F1,1,15831456;20734354;20943815;23000165
9090,SP1,RARA,1,15831516;16740727;7585542;9626663
9091,SCX,SHBG,1,15831523
9092,GATA6,CYB5A,1,15831526
9093,NR5A1,CYB5A,1,15831526
9094,HNF4A,ALPI,1,15831710
9095,PPARA,FABP3,1,15833283;16936205
9096,CEBPD,HBB,1,15833715
9097,CEBPG,HBB,1,15833715
9098,CEBPB,HBB,1,15833715
9099,BCL6B,IL2,1,15833813
9100,POU4F2,HSPB1,1,15833836;18368538
9101,AR,ERBB2,1,15833875;19318561;21613411;21741601
9102,DLX4,OGA,1,15834423
9103,GRHL3,OGA,1,15834423
9104,NKX2-5,NPPB,1,15837525
9105,VDR,NPPA,1,15837528;8579609;9622151
9106,SP1,ATM,1,11466608;15837784
9107,NR2C2,TNF,1,15837794
9108,SRF,ACTB,1,15837932;1762920;18804439;9571041
9109,SRF,GSN,1,15837932
9110,SMAD3,EDN1,1,15838328;16740983;17376964;22301113
9111,PPARA,GRHPR,1,15840574
9112,STAT5A,SLCO1B3,1,15840840
9113,STAT5A,GHR,1,12488452;15840840;17412814
9114,THRA,EGFR,1,1584225;8393457
9115,TBX2,TBX20,1,15843407
9116,TBX20,TBX2,-1,15843407;15901664;19661464
9117,TBX2,MYCN,-1,15843407
9118,TBX20,MEF2C,1,15843409
9119,GATA4,MEF2C,1,15253934;15843409
9120,GATA4,NKX2-5,1,15843409;23307821
9121,NKX2-5,GATA4,1,15653675;16137232;19479054
9122,ISL1,MEF2C,1,15253934;15843409;23152444;24147056
9123,ISL1,NKX2-5,1,15843409
9124,TBX20,NKX2-5,1,15843409
9125,SIX3,BMP4,1,15843413
9126,CREM,CRH,1,15843609;16451219;19543827
9127,GRHL3,SMAD7,1,15849193
9128,MECOM,SMAD7,-1,15849193
9129,SP1,COL10A1,1,15849196;9497390
9130,SP3,COL10A1,1,15849196
9131,DLX5,COL10A1,1,15849196
9132,NCOR2,TH,1,15849266
9133,CEBPB,ADIPOQ,1,15850785;15919796
9134,SP1,FECH,1,15850836
9135,SP1,PADI2,1,15854045
9136,SP3,PADI2,1,15854045
9137,USF1,GCLC,-1,15854410;15949339;16198230;17124385;20466058
9138,PPARA,ELOVL3,1,15855229;22436697
9139,SREBF1,ELOVL3,1,15855229;17003504
9140,NR1H3,ELOVL3,1,15855229
9141,NR2F2,INS,1,15855320
9142,E2F3,CCNB1,1,15855772;17098936
9143,E2F4,CCNB1,1,15855772;17531812;22508987
9144,TP53,SERPINF1,1,15856012
9145,TP73,SERPINF1,1,15856012;18546269
9146,TP63,SERPINF1,1,15856012
9147,USF2,AVP,1,15856526
9148,USF2,QRFP,1,15856526
9149,REST,BRINP1,-1,15857687
9150,REST,NTRK3,-1,15857687
9151,RELA,REN,1,15857826
9152,ETV5,ICAM1,1,15857832;9572487
9153,TP53,PRIMA1,1,15860260
9154,POU5F1,NANOG,1,15860457;17068183;17272500;18338330;18537119;18662995;18687992;19522013;20505756;22745796
9155,NANOG,POU5F1,1,16790525;22378194
9156,SOX2,NANOG,1,15860457;17324942;18537119;19522013;22745796;23939864
9157,NR0B2,TIMP1,-1,15860571
9158,NR1H4,TIMP1,-1,15860571
9159,SP1,CYP2F1,1,15860659
9160,SP3,CYP2F1,1,15860659
9161,HR,ICAM1,1,15860735
9162,CEBPG,AVP,1,1586166;8466483
9163,NEUROD1,INS-IGF2,1,15862113;21781967
9164,PDX1,INS-IGF2,1,15862113;21395400;22150363;7575438
9165,TCF3,INS-IGF2,1,15862113
9166,DNMT1,INS,1,15862113
9167,SMAD7,SMURF2,1,15862290
9168,ESR2,INSR,-1,15862945;22099628
9169,SOX15,HRC,1,15863505
9170,SOX2,HRC,1,15863505
9171,TFAP2A,PIGR,1,15864740
9172,USF2,PIGR,1,14644095;15864740;9756509
9173,TFAP2A,MYH13,1,15864745
9174,E2F1,PTGS2,1,15867358
9175,YY1,ERBB2,1,15870067;18218085;19435870
9176,NFE2L2,FGF1,1,15870071
9177,NFE2L2,NGF,1,15870071;21596795
9178,JARID2,RB1,1,15870077
9179,ASCL1,TPH1,-1,15870121;19744316
9180,HES1,TPH1,1,15870121
9181,STAT3,PTPN13,1,15870198;24191246
9182,STAT3,PTPN6,-1,14630083;15870198;16825495;18331586;21792937;24058781
9183,DNMT1,PTPN6,1,15870198;24058781
9184,SPI1,PTPN6,1,15870198;17218319
9185,SP1,RASSF1,1,15870267;19450668
9186,SMARCA1,MYOG,1,15870273
9187,PBX1,MYOG,1,15870273
9188,TP53,BUB1B,1,15870277
9189,NCOR2,EBP,1,15870285
9190,NCOR2,NFE2L2,1,15870285
9191,NCOR2,RHBDF2,1,15870285
9192,HES1,CDKN1B,-1,15870295;19541765;19598246;19609448;22311706
9193,KAT7,CCND1,1,15870300
9194,TAF1,FOS,1,15870300
9195,STAT1,SLURP1,1,15871904
9196,ZNF384,EFNB2,1,15875024
9197,TBP,TRRAP,1,15876353
9198,ESR1,GSTK1,1,1587835
9199,ESR1,GSTP1,1,1587835;16010691;16407263;9390189;9540834
9200,ESR1,HPGDS,1,1587835
9201,CEBPB,IFNA1,1,15878863
9202,ESRRA,SULT2A1,1,15878968;21513704;24038886
9203,PAX3,CD3E,1,15879122
9204,NR0B1,MC2R,-1,11248736;15879363
9205,DNMT1,MC2R,1,15879363
9206,SSRP1,NFKBIA,1,15879558
9207,TGFB1I1,VIM,1,15879885
9208,NKX3-1,NKX3-1,1,15880262;16270157;16763719;16845664;19263243;19886863;20195545;20716579;20855495;21730289;23368843
9209,JUN,ABCC1,1,15880572
9210,SREBF1,IRS2,-1,15881188;16091421
9211,TBX6,CD44,1,15882420
9212,XBP1,DNAJB9,1,15882996
9213,SP4,VEGFA,1,15883203;20435036
9214,PDX1,MTOR,1,15885879
9215,HOXB8,MYLK,-1,15886193
9216,HOXA10,MYLK,1,15886193
9217,PPARG,SLC2A2,1,15886523;16395520
9218,SP1,ERVW-1,1,15888734
9219,MECOM,GATA2,1,15889140
9220,SP1,PTHLH,1,15889157;8063775;9030555
9221,RB1,SP1,1,7702750
9222,SP1,RB1,1,12760745;15618023;1588949;17384411;18801742;21465530;7896792;8007947
9223,MYB,MYC,1,11259163;1588953;1594249;16088151;1679531;18408764;19609274;2233716;8382794;8474446;9596659
9224,APEX1,HAP1,1,1588959;17706600
9225,APEX1,MNT,1,1588959
9226,MNT,HAP1,1,1588959
9227,MNT,MNT,1,1588959
9228,APEX1,GAL,1,1588959
9229,DBP,ALB,1,1588973;1922023;2958390;8617210
9230,NFE2L2,GSS,1,15890065;22213475
9231,SP1,ST3GAL5,1,15890474;23050851
9232,TFAP2A,ST3GAL5,1,15890474
9233,TFAP2A,POMGNT2,1,15890474
9234,MEF2A,SMYD1,1,15890826
