,source,mor,target
482,RHOA,1,PLD1
484,MAPK7,1,MYC
485,FLT3,1,GRB2
488,SFRP2,-1,WNT4
490,SFRP2,-1,WNT1
494,SFRP1,-1,WNT2
497,PAX6,1,SFRP2
501,CTTN,1,WASL
503,BIRC2,-1,CASP3
504,CASP2,1,BID
505,CASP3,1,CASP2
506,BBC3,-1,MCL1
507,BBC3,-1,MCL1
508,MCL1,-1,BAK1
510,BIRC6,-1,CASP9
512,BCL2L11,-1,MCL1
515,MTOR,-1,ULK1
517,RHEB,1,MTOR
521,PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,1,TSC2
522,ATG7,1,MAP1LC3B
523,RHOA,1,DIAPH1
524,WASL,1,ARPC1B
525,CDC42,1,WASL
526,GRB2,1,WASL
527,MET,1,CTTN
528,AKT1,-1,TSC2
529,PMAIP1,-1,MCL1
530,RET,1,SHC1
531,NTRK1,1,SHC1
532,RHOA,1,ROCK2
533,RET,1,GRB2
534,ATG7,1,ATG10
535,ATG7,1,ATG12
536,ATG12,1,ATG5
537,ATG12_ATG5,1,ATG16L1
540,ATG3,1,MAP1LC3B
541,CAMKK2,1,PRKAG1
542,NKX3-1,-1,HDAC1
547,RAF1,-1,STK3
549,E2F6,-1,RBBP8
551,BCL2L2,-1,BIK
552,DYNLL1,-1,BCL2L11
553,CFLAR,-1,CASP10
559,CASP8,1,CASP3
561,CASP10,1,CASP3
562,CASP3,-1,PXN
563,PPP1CA,1,BAD
564,CASP3,-1,PTK2
565,BCL2L11,-1,BCL2A1
567,BCL2L11,1,VDAC1
568,BCL2L1,-1,VDAC1
569,BAK1,1,VDAC1
570,BAX,1,VDAC1
572,DAPK1,1,TP53
578,RHEB,1,MLST8
579,ATG101,1,ATG13
580,PMAIP1,1,BAX
581,PRKCI,-1,BAD
584,MIB1,-1,DAPK1
586,DAPK1,-1,STX1A
587,DAPK1,-1,RPS6
589,BBC3,-1,BCL2A1
590,BBC3,-1,BCL2A1
591,BBC3,1,BAX
592,BBC3,1,BAX
593,HRK,-1,BCL2L1
594,HRK,-1,BCL2
595,RHEB,-1,FKBP8
596,FKBP8,-1,MTOR
597,PMAIP1,-1,BCL2A1
599,PIDD1,1,CASP2
600,PIDD1,1,IKBKG
604,RPS6KA3,1,RPTOR
605,PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,-1,RPTOR
606,FAS,1,CASP8AP2
607,RPS6KA1,1,RPTOR
609,CASP8AP2,1,CASP8
611,MAP2K1,1,MAPK3
612,MAPK3,1,RPS6KA3
613,MAPK1,1,RPS6KA1
614,DAPK3,1,MYL9
615,MAPK1,1,RPS6KA3
616,MAPK1,1,DAPK1
618,SRC,-1,DAPK1
619,PTPRF,1,DAPK1
622,DAPK1,1,DAPK3
624,MAPK3,1,DAPK1
628,RRAS,1,RAF1
630,RPS6KA1,-1,DAPK1
631,RPS6KA3,-1,DAPK1
632,RAF1,1,MAP2K1
633,GSN,1,ACTG1
636,DAPK3,1,PPP1R14A
637,DAPK3,-1,PPP1R12A
639,DAPK3,1,AR
640,ROCK1,1,DAPK3
644,TLN1,1,ITGB1
650,CDC42,1,MAP3K4
651,RAC1,1,MAP3K1
652,STAT3,1,WNT5A
653,RAC1,1,MAP3K4
654,ATM,1,MDC1
661,TP53,1,ARID3A
669,CHEK2,1,ELAVL1
670,E2F3,1,CCNB1
672,E2F1,1,EED
682,MIR17HG,-1,CDKN1A
685,PUF60,-1,FUBP1
686,CCNH_CDK7_MNAT1,1,THRA
688,CDK7,1,ETS1
689,FUBP1,1,MYC
691,CCNH_CDK7_MNAT1,1,CDK7
692,FBXL17,-1,CRY2
701,E2F4,-1,CLSPN
702,E2F2,1,CDKN2A
703,E2F2,1,CDKN2A
704,CDK1,1,BRCA1
705,E2F1,1,CDT1
710,CUL1_FBXL3_SKP1,-1,CRY1
711,CUL1_FBXL3_SKP1,-1,CRY2
712,E2F2,1,PCNA
713,E2F6,-1,BRCA1
716,E2F6,-1,CBX5
718,UBE2T,1,FANCI
721,SUMO1,1,PML
722,UBE2T,1,FANCD2
725,MAPKAPK2,-1,CDC25A
727,CHEK1,-1,CDC25B
729,MAPKAPK2,-1,CDC25C
731,MAPKAPK2,-1,CDC25B
732,TP53,1,HTT
737,ATM,1,SLX4
