,source,mor,target
1910,CSNK2A1_CSNK2B,1,MAX
1912,EIF2AK3,1,NFE2L2
1916,EIF2AK3,1,ATF4
1917,MAP2K6,1,MAPK11
1921,HSPA5,-1,ERN1
1922,SIRT1,1,NBN
1924,TIMD4,1,HAVCR1
1925,HSPA5,-1,ATF6
1927,GHR,1,JAK2
1929,PRLR,1,JAK2
1931,LEPR,1,JAK2
1932,IL5RA,1,JAK2
1937,PIAS4,1,IKBKG
1939,PARP1,1,PIAS4
1942,SENP3,-1,SUMO2
1943,GNB2,-1,DVL1
1944,NET1,1,RHOA
1945,DVL1,1,DAAM1
1947,ARHGEF18,1,RHOA
1953,ATM,-1,CREB1
1955,ATM,-1,ATF1
1958,ARHGEF19,1,RHOA
1960,ARHGEF19,1,RAC1
1961,SFRP1,-1,FZD6
1962,GNAO1,1,DVL1
1964,CRTC2,1,CREB1
1967,PIAS4,1,TCF7L2
1970,DVL1,1,RAC1
1971,PRKN,-1,SYT11
1976,BAG2,1,STUB1
1979,CREB1,1,SMARCA4
1984,CXXC5,-1,DVL1
1985,CXXC4,-1,DVL1
1986,CSNK2A1_CSNK2B,1,DVL1
1987,KLHL12,-1,DVL1
1988,SDC4,1,DVL1
1989,ANKRD6,1,CSNK1E
1990,ANKRD6,1,DVL1
1991,CSNK1D,-1,PER2
1995,ARRB1,1,DVL1
1996,AKT1,-1,ZFP36L1
2003,IRF1,1,CASP8
2004,PARP1,1,CHD1L
2011,KAT5,1,H4C2
2013,RPS6KA4,1,CREB1
2017,EHMT2,-1,H3C12
2018,EHMT1,-1,H3C12
2019,SETDB1,-1,H3C12
2021,EHMT2,1,DNMT3B
2022,EHMT2,1,DNMT3A
2030,UHRF1,1,DNMT1
2033,HDAC1,1,TRIM28
2034,HDAC2,1,STAT3
2035,KAT2A,1,H3C12
2036,MEN1,1,KMT2A
2040,PHF8,1,H3C12
2043,KMT2A,1,H3C12
2044,GZMA,-1,SET
2045,SIRT1,-1,RELA
2047,SET,-1,NME1
2048,SIRT1,-1,RELB
2050,GZMB,1,CASP3
2053,PRMT6,-1,H3C12
2055,BMI1,1,RNF2
2058,STAT1,-1,CREBBP
2064,GZMA,-1,HMGB2
2068,JUN,1,CTNNB1
2071,JAK2,1,H3C12
2073,TLE5,-1,RELA
2075,PHF1,1,SUZ12
2083,HIF1A,1,BNIP3
2085,TGFA,1,EGFR
2087,PRKCA,1,MAPK1
2089,PRKCA,1,MAPK3
2092,EP300,-1,BCL6
2093,SRC,1,EGFR
2095,CAPN3,-1,NFKBIA
2097,CYLD,-1,TRAF2
2098,CYLD,-1,IKBKG
2101,HOXA10,1,FOXO1
2105,CEBPB,1,FOXO1
2106,FOXO1,1,IGFBP1
2110,PRKCB,-1,KIT
2111,TEC,1,DOK1
2112,FYN,1,DOK1
2113,LYN,1,DOK1
2114,SRC,1,KIT
2115,LYN,1,KIT
2117,PRKCA,-1,KIT
2119,MDM2,-1,AR
2120,HIPK3,1,AR
2121,PRKDC,1,TRIM28
2122,ATM,1,AVEN
2124,MAPK11,1,ATF2
2125,PPARA,-1,FOXO1
2130,FOXO1,-1,PPARG
2136,E2F1,1,HNRNPA3
2137,PTPN12,-1,WAS
2140,PTPRJ,-1,LAT
2141,PTPRJ,-1,PLCG1
2143,BIRC2,1,IKBKG
2144,FBXW11,-1,NFKBIA
2145,PTPN3,-1,CD247
2147,UBE2D3,-1,NFKBIA
2149,MTOR,1,RPS6KB1
2153,ITCH,-1,CFLAR
2154,UBE2D2,-1,NFKBIA
2155,CDC34,-1,NFKBIA
2157,RIPK1,1,MAP3K1
2158,SRC,1,IKBKB
2160,TBK1,1,IKBKB
2161,IKBKB,1,RELA
2162,MAP3K3,1,IKBKB
2165,APEX1,1,TP53
2169,MAP3K1,1,CHUK
2170,MAP3K2,1,CHUK
2172,TBK1,1,CHUK
2173,MAP3K3,1,CHUK
2174,RPS6KA5,1,RELA
2178,AZI2,1,TBK1
2179,FAAP24,1,FANCM
2180,PLK1,1,STAG2
2181,PLK1,1,RAD21
2182,WAPL,-1,RAD21
2184,ATM,1,SMARCC2
2185,ATR,1,SMARCC2
2186,GRB2,1,SOS1
2188,FANCC,1,BLM
2189,SRC,1,CHUK
2190,CHUK,1,RELA
2191,CHUK,1,H3-4
2192,AKT2,1,CHUK
2193,TNFAIP3,-1,RIPK1
2194,PRKCZ,1,RELA
2196,MAP3K14,1,CHUK
2197,PRKACA,1,RELA
2198,TBK1,1,RELA
2200,KAT2B,1,EP300
2204,FANCL,1,FANCD2
2206,FANCL,1,FANCI
2208,KAT2B,1,CREBBP
2212,PCNA,1,CHAF1B
2215,SIRT1,-1,WRN
2216,HDAC1,-1,TP53
2219,ADRM1,1,UCHL5
2220,SIRT1,1,XRCC6
2224,ERCC6,1,H4C2
2226,PTK2,1,BCAR1
2227,AURKA,1,BRCA1
2228,ATM,1,ATF2
2232,MTA1,-1,ESR1
2234,NEDD8,1,CUL2
2237,RPS6KA4,1,RELA
2238,ACTL6A,1,ATM
2241,PDPK1,1,AKT1
2243,CDK1,-1,TP53BP1
2245,CDC7,1,MCM2
2248,PPP1CA,1,TRIM28
2250,EP300,1,NBN
2251,ATM,1,EP300
2252,EP300,1,DDX5
2254,EP300,1,H4C2
2255,HDAC10,-1,TRIM28
2259,ZNF350,1,TRIM28
2262,EP400,-1,KAT5
2263,RNF2,-1,H2AZ1
2266,EP400,-1,CDKN1A
2267,EP300,1,TDG
2271,CHD8,-1,CTNNB1
2272,PER2,1,NR1D1
2273,CSNK1A1,-1,PHLPP1
2276,CSNK1A1,-1,IFNAR1
2278,CSNK1A1,1,AXIN1
2282,PAX8,1,WT1
2301,ZBTB16,-1,CCNA2
2303,TWIST1,1,VEGFA
2306,TWIST1,1,MDM2
2311,ZBTB16,1,MYC
2319,ATM,1,RIF1
2320,FBXO31,-1,CCND1
2321,PRKDC,1,HNRNPU
2326,CBLB,-1,SYK
2327,ATRIP,1,BRCA1
2328,PPP3CB,1,NFATC2
2329,PPP3CA,1,NFATC2
2331,PPP3CA,1,NFATC3
2332,DYRK1A,1,GLI1
2333,CASP3,-1,AKT1
2334,MFNG,1,DLL1
2335,NCOR2,-1,PPARG
2336,NCOR1,-1,PPARG
2342,SIRT1,1,NCOR2
2344,SIRT1,1,NCOR1
2345,PIAS4,1,TCF4
2349,CTNNB1,1,TCF7L2
2350,SMAD3,1,FOXO1
2355,SYK,-1,LCK
2356,MAML1,1,RBPJ
2357,NCOR1,-1,RBPJ
2360,ESR1,-1,FOXO1
2361,MAPKAPK2,1,CREB1
2362,SYK,1,HCLS1
2365,SYK,1,PLCG1
2367,LYN,1,NEDD9
2368,BTK,1,GTF2I
2369,LYN,1,HCLS1
2370,LYN,1,BCAR1
2371,NLK,-1,TCF7L2
2374,FOXG1,-1,FOXO1
2375,PRKCQ,1,CARD11
2376,PRKCB,1,CARD11
2378,PTK2B,1,STAP1
2379,MYC,-1,CDKN1A
2380,PRKCB,1,RASGRP3
2381,NR1I2_RXRA,1,CYP2B6
2383,MAPK8,1,ATF2
2389,PRKCG,1,DVL2
2390,MAPK8,1,PAX2
2392,NLK,-1,TCF4
2393,HIPK2,1,NLK
2394,MAP3K7,1,HIPK2
2395,PRKCA,1,DVL2
2396,PRKCB,1,DVL2
2397,PPP2CA,-1,APC
2400,CASP8,-1,AR
2401,HDAC1,-1,AR
2403,CASP7,-1,AR
2405,CASP1,-1,AR
2406,GSK3B,1,APC
2416,WRN,1,NEIL1
2417,AKT1,1,YBX1
2420,NPAT,1,HINFP
2422,ATR,1,PRKDC
2426,TIPIN,1,TIMELESS
2427,TIMELESS,1,TIPIN
2428,DTX1,-1,MAP3K1
2429,LCK,1,LIME1
2430,FYN,1,TXK
2431,LYN,1,LIME1
2432,EP300,-1,FEN1
2433,FYN,1,ITPR1
2434,LCK,1,SIT1
2435,FYN,1,SIT1
2437,ARNT_HIF1A,1,SERPINE1
2442,MAP3K7,1,NLK
2443,MLH1,1,PMS2
2444,PMS2,1,TP73
2446,ARNT_HIF1A,1,TFRC
2447,ARNT_HIF1A,1,TF
2449,ARNT_HIF1A,1,PGK1
2456,CHEK1,1,UBE2B
2457,RPA1_RPA2_RPA3,1,RECQL
2459,CHEK1,-1,TLK2
2460,CETN2_RAD23B_XPC,1,TDG
2461,APC,-1,POLB
2462,APC,-1,FEN1
2463,XRCC1,1,POLB
2464,APEX1,1,TXN
2467,ARNT_HIF1A,1,ENO1
2468,RHOA,1,CIT
2470,ROCK1,1,LIMK2
2471,CDC42BPA,1,LIMK1
2472,CDC42BPA,1,LIMK2
2473,CFL1,-1,ACTC1
2479,ROCK1,1,LIMK1
2482,TOPBP1,1,ATRIP
2486,NEK2,1,SGO1
2488,NEK2,1,CNTROB
2490,PLK1,-1,FANCM
2491,TRAF6,1,TAB1
2495,MED14,1,STAT2
2496,KPNA2,1,IRF1
2499,IRAK1,1,IRF7
2500,TLR2,1,TICAM2
2501,TICAM2,1,MYD88
2505,HNRNPK,1,TP53
2506,RHOA,1,PKN2
2507,BIRC2,-1,MAP3K14
2508,BIRC3,-1,MAP3K14
2509,BIRC2,1,RIPK1
2510,BIRC3,1,RIPK1
2511,ERCC6,-1,TP53
2512,ERCC6,-1,TP53
2513,BIRC7,-1,DIABLO
2515,TRAF6,1,AKT1
2516,TLR10,1,MYD88
2517,MYD88,1,IRAK1
2518,TLR8,1,MYD88
2519,PDK1,1,PKN2
2520,RB1,-1,YY1
2525,MPG,-1,ESR1
2526,TDG,1,CREBBP
2531,HSF1,1,PRKDC
2532,PARG,-1,PARP1
2533,ELAVL1,1,FOS
2535,SYMPK,1,CSTF2
2537,ELAVL1,1,CDKN1A
2538,ELAVL1,1,CCNA1
2539,DLC1,-1,BCL2L11
2541,ELAVL1,1,CCNA2
2542,TDG,1,ESR1
2544,FOXO3,1,ATM
2545,STAT1,1,CASP1
2546,E2F1,1,TP53
2548,ELAVL1,1,TP53
2552,SUMO1,-1,TDG
2557,SUMO2,1,RCOR1
2562,MAPK3,1,HIF1A
2563,MAPK1,1,HIF1A
2566,ARNT_HIF1A,1,ALDOA
2567,KDM1A,-1,TP53
2569,PIN1,1,TP53
2575,MYC,-1,NFYC
2577,FOXM1,1,CDC25C
2579,PCBP2,1,ITCH
2580,ITCH,-1,MAVS
2582,RNF135,1,RIGI
2583,GRK2,1,SMO
2584,HTT,-1,PAK2
2589,GSK3B,1,SUFU
2591,DYRK2,-1,GLI2
2593,MTA2,-1,TP53
2595,RPS6KA4,1,HMGN1
2599,EP300,-1,HMGN1
2606,TELO2,1,MTOR
2607,TELO2,1,ATM
2610,GADD45A,-1,CDK1
2613,CDK1,1,CDC25A
2615,TRIM28,1,MDM2
2617,ATM,-1,ZNF420
2618,DYRK2,-1,GYS1
2620,MAPK14,1,STAT4
2621,CHEK1,1,CLSPN
2624,LCK,1,CD247
2625,EP300,1,HIF1A
2626,FYN,1,CD247
2627,EP300,1,ARNT
2630,CHEK1,-1,H3C12
2631,MAP4K1,1,CARD11
2633,LCK,1,GAB2
2634,PTPRH,-1,LCK
2637,SYK,1,LAX1
2638,LCK,1,LAX1
2639,LCK,1,ZAP70
2640,PRKCQ,1,STK39
2642,ZAP70,1,SHC1
2643,LCK,1,MUC1
2644,ZAP70,1,MUC1
2645,ZAP70,1,GAB2
2646,ZAP70,1,DBNL
2647,LCK,1,VAV1
2649,ZAP70,1,VAV1
2650,FYN,1,VAV1
2652,LCK,1,TRAT1
2654,FYN,1,FYB1
2655,FBXO5,-1,FZR1
2657,PLK1,-1,EVI5
2659,ITK,1,LAT
2660,ZAP70,1,LAX1
2661,LCK,1,LCP2
2662,ZAP70,1,LCP2
2663,ZAP70,1,SH2B3
2664,LCK,1,SH2B3
2666,FYN,1,SKAP1
2668,FYN,1,TRAT1
2671,MAD2L1,-1,CDC20
2672,FYN,1,WAS
2674,SYK,1,DUSP3
2676,ZAP70,1,DUSP3
2678,TLR9,1,MYD88
2679,TLR7,1,MYD88
2680,MAP3K7,1,MAP3K14
2681,MAP3K2,1,MAP2K4
2683,E2F4,-1,MYBL2
2684,MAP3K2,1,MAP2K7
2687,ATM,1,BLM
2688,IRAK1,1,IRAK2
2690,IRAK1,1,IRAK3
2692,MAPK14,-1,CCND2
2693,RFC1_RFC2_RFC3_RFC4_RFC5,1,PCNA
2694,RPS6KA3,1,H3C12
2695,RPS6KA5,1,H3C12
2696,MCM10,1,POLA1
2699,FBXW8,-1,CCND1
2700,PTPN6,-1,IL2RB
2701,IKBKB,1,DOK1
2706,KPNA2,1,CHEK2
2707,CAMK2A,-1,SMAD2
2708,RNF111,-1,SKI
2714,BUB1,1,SMC1A
2715,KIF4A,1,PRC1
2718,KDM1B,-1,H3C12
2720,TTK,-1,PRC1
2721,USP7,1,MARCHF7
2722,TTK,1,TACC2
2727,E2F1,1,KAT2A
2732,GADD45GIP1,-1,NR4A1
2737,IRAK4,1,IRAK1
2739,TRIM28,1,SETDB1
2740,NR4A1,-1,BCL2
2741,AKT1,-1,NR4A1
2742,TRIM28,1,CHD3
2743,ATM,1,E2F1
2745,CDK2,-1,CDKN1A
2747,ATM,1,SP1
2748,MAP3K2,1,MAP2K5
2749,MAP2K5,1,MAPK7
2751,ATM,1,SMC1A
2752,MAP3K3,1,MAP2K5
2756,CCNA2_CDK2,1,NFYA
2758,TP53,-1,NFYB
2761,TP53,-1,NFYA
2766,ING2,1,EP300
2768,SIRT1,1,APEX1
2777,PCNA,-1,EP300
2778,MDM4,-1,TP53
2780,CDKN1A,-1,PCNA
2781,APEX1,1,STAT3
2783,PCNA,1,NEIL1
2785,BTRC_CUL1_SKP1,-1,CTNNB1
2786,EP300,1,APEX1
2790,CCNH,1,CDK7
2791,NEDD8,-1,CUL4A
2792,ATR,1,ATM
2795,CUL1_FBXW7_RBX1_SKP1,-1,MYC
2796,TP53,1,GTSE1
2798,ACTA1_ACTL6A_ALKBH3_BRD2_BRD8_DMAP1_EP400_EPC1_ING3_KAT5_MORF4L1_MRGBP_RUVBL1_RUVBL2_TRRAP_VPS72_YEATS4,1,H4C2
2800,ATM,1,DCLRE1C
2803,CLK2,1,ATR
2805,AURKA,1,CENPA
2806,AURKB,1,CENPA
2811,KDM1A,1,AR
2813,MAPK8,1,ITCH
2814,AURKA,1,CDC25B
2815,DTL,1,CUL4A
2816,CDK1,1,CDC25B
2821,ATR,-1,CLSPN
2824,TOPBP1,1,BRIP1
2826,FANCM,1,BLM
2828,NFYA_NFYB_NFYC,1,TOP2A
2838,ATR,1,RPA2
2839,XPA,1,ERCC1
2840,FANCD2,1,SLX4
2842,ATR,1,FANCD2
2843,MAD2L2,-1,CDC20
2844,HLTF,-1,PCNA
2846,MAD2L2,-1,CDH1
2855,CAND1,-1,CUL4A
2856,ASF1A,1,H3C12
2857,ASF1B,1,H3C12
2858,ASF1A,1,H4C2
2859,CHEK2,-1,ASF1A
2860,ASF1B,1,H4C2
2864,TGFBR2,1,EIF3I
2867,TGFBR2,1,TGFBR1
2868,TGFBR2,1,TGFBR3
2869,TGFBR1,1,SHC1
2870,CSNK1G2,-1,SMAD3
2871,TGFBR2,1,PARD6A
2872,TGFBR2,1,ENG
2873,TGFBR1,1,ENG
2874,TGFBR1,1,PPP2R2A
2876,MAPK8,1,SMAD3
2877,MAPK14,1,ATF2
2879,PJA1,-1,SPTBN1
2880,MAPK14,1,SMAD3
2881,TGFBR1,1,FNTA
2883,MAPK14,1,MEF2C
2884,NEDD4L,-1,SMAD2
2886,MAPK1,-1,FRS2
2888,CDK5,1,PLD2
2892,MAPK8,1,JUND
2893,TNK2,1,MCF2
2894,EGFR,1,JAK1
2896,KSR1,1,RAF1
2897,PTK6,1,KHDRBS1
2899,UCHL5,1,TGFBR1
2901,KAT2B,1,SMAD2
2902,ITCH,1,SH3GL2
2904,CREBBP,1,SMAD2
2905,PIAS1,1,SMAD4
2906,PIAS2,1,SMAD4
2907,PRKD1,1,EGFR
2908,EGFR,1,STAT3
2912,EGFR,1,VAV2
2914,SRC,1,PLSCR1
2915,EGFR,1,EPS15
2917,PAK1,1,MAP2K1
2919,MAPK3,1,PTPN5
2921,EGFR,1,SHC1
2922,SRC,1,BCAR1
2924,SRC,1,SH2D3C
2926,PRKCA,1,PLD1
2929,EGFR,1,EPS8
2930,EGFR,1,CEACAM1
2933,PLK1,1,CDC25C
2934,TRAF6,1,MAP3K5
2938,ECT2,1,CDC42
2940,FOXM1,1,CENPF
2942,ERCC8,1,XAB2
2943,FOXM1,1,CCNB1
2945,FOXM1,1,CDC25A
2948,FOXM1,1,CDC25B
2950,ERCC6,1,XAB2
2951,ERCC6,1,XAB2
2952,ECT2,1,RHOA
2956,PTPN6,1,CTNND1
2958,PTPN11,-1,EGFR
2959,PTPN12,-1,JAK2
2962,MAPK3,1,JUND
2963,RPS6KA5,1,CREB1
2964,RHOA,1,ROCK1
2966,RPS6KA5,1,ATF1
2973,GLRX,-1,MAP3K5
2974,TXN,-1,MAP3K5
2977,LYN,1,CD79B
2978,SYK,1,CD79B
2979,LYN,1,ITPR1
2980,BTK,1,PLCG2
2981,LYN,1,BTK
2982,PRKCQ,1,RASGRP3
2985,SYK,1,SHC1
2986,RPS6KA1,1,CREB1
2987,PRKD1,1,SYK
2988,PPP3R1,1,NFATC2
2989,CXCL10,1,CXCR3
2990,SYK,1,GAB2
2991,LYN,1,CD19
2993,PTPN6,-1,LCP2
2994,LYN,1,GAB2
2995,LYN,1,CD79A
2996,LCK,1,CD79A
2997,SYK,1,CD79A
2999,LCK,1,CD79B
3000,PRKCB,1,IKBKB
3001,MAPK1,1,ELK1
3005,BTK,1,PIK3AP1
3006,SYK,1,PIK3AP1
3007,PRKCB,1,CHUK
3008,FYN,1,SYK
3009,LYN,1,SYK
3011,MSL2,-1,TP53
3013,WSB1,-1,HIPK2
3014,SIAH2,-1,HIPK2
3017,YAP1,1,TP73
3019,HDAC3,-1,H3C12
3020,TEC,1,PLCG2
3021,ATM,-1,SIAH1
3022,FYN,1,SH3BP2
3023,SYK,1,BLNK
3024,ITK,1,PLCG2
3025,BTK,1,PLCG1
3026,ITK,1,PLCG1
3027,TEC,1,STAP1
3031,SYK,1,SH3BP2
3033,SIAH1,-1,HIPK2
3036,RAD17,1,RAD9A
3037,CASP6,1,HIPK2
3039,MAPK8,-1,CTBP1
3040,ABL1,1,YAP1
3043,CSNK2B,-1,CHEK2
3044,CDC20,-1,CCNA2
3046,CDC20,1,ANAPC11
3047,EZH2,-1,H3C12
3048,BCL2,-1,TP53AIP1
3050,CSNK2A1_CSNK2B,1,TP53
3054,SUV39H1,-1,H3C12
3055,E2F3,1,MIR17HG
3057,AURKB,1,RB1
3059,E2F1,1,RELA
3065,BUB1,1,PLK1
3067,AURKA,1,PLK1
3068,TTK,1,CDCA8
3069,PLK1,1,BUB1B
3070,NEK2,1,NDC80
3071,PTPN2,-1,STAT3
3074,PTPN2,-1,KDR
3075,PTPN11,1,TERT
3080,ABL1,1,PRKCD
3081,PRKCD,-1,PRKDC
3085,TXN,1,NR3C1
3093,MAPK14,-1,EGFR
3095,MAPK14,1,USF1
3097,MAPK8,-1,CDC25B
3098,MAPK14,-1,CDC25B
3099,SIRT1,-1,TP53
3100,RPS19BP1,1,SIRT1
3105,POU4F3,1,LHX3
3106,NOL3,-1,FADD
3108,NOL3,1,BAX
3112,CDK1,1,CSNK2A1
3123,PPP2CA_PPP2R5A_PTPA,-1,CSNK2A1
3126,MAPK1,1,GATA2
3127,SRC,1,STAT3
3131,FES,1,IRS2
3132,PRKCZ,1,STAT6
3133,PTPN6,-1,STAT5B
3134,PRKCZ,1,JAK1
3135,FES,1,IRS1
3136,JAK3,1,FES
3137,CREBBP,1,STAT6
3138,MAPK14,1,ELK1
3139,JAK1,1,FES
3140,CTNNBIP1,-1,CTNNB1
3142,LYN,1,CSF2RB
3144,LYN,1,IL5RA
3146,EP300,1,STAT6
3147,PTTG1,-1,ESPL1
3148,PTPN11,-1,PTK2B
3151,JAK1,1,BTK
3152,AKT1,-1,GSK3A
3154,FBXO5,-1,CDC20
3158,JAK1,1,STAT5B
3160,JAK1,1,IL7R
3161,JAK1,1,STAT5A
3162,CASP9,-1,LYN
3163,CASP7,-1,LYN
3165,JAK3,1,IL7R
3166,JAK3,1,IRS1
3167,PPP3R1,1,NFATC1
3168,PTPN6,-1,BLNK
3169,PTPN6,-1,CD72
3170,UHRF1,1,TOP2A
3173,JAK1,1,SOCS3
3175,JAK3,1,SOCS3
3178,JAK1,1,SYK
3179,JAK3,1,IRS2
3180,JAK3,1,STAT3
3181,PTPN11,-1,STAT5B
3185,E2F4,-1,CCNB1
3186,E2F4,-1,CDK1
3187,JAK2,1,STAM
3189,LYN,1,MAPK3
3191,MAPK1,1,LCK
3192,CCNA2_CDK2,1,MYBL2
3193,LCK,1,IL2RB
3197,JAK1,1,IL2RB
3198,MAPK3,1,ELK1
3199,AKT1,1,TERT
3200,JAK3,1,STAT5A
3201,MAPK3,1,PLCB1
3202,MAPK1,1,PLCB1
3203,JAK1,1,PIK3R1
3205,FYN,1,PIK3R1
3207,JAK1,1,PIK3R2
3209,FYN,1,PIK3R2
3210,LCK,1,PIK3R2
3211,JAK1,1,STAM2
3212,JAK3,1,STAM
3217,MAPK1,1,GATA1
3218,MAPK3,1,GATA1
3221,PTPN6,-1,CSF2RB
3223,TP53BP1,1,RIF1
3228,HIPK2,1,PML
3229,PML,1,YAP1
3232,TP73,1,BBC3
3233,TP73,1,BBC3
3236,RNF168,1,H2AX
3243,NCOR2,1,HDAC3
3244,NCOR1,1,HDAC3
3247,AKAP8,1,HDAC3
3248,HDAC3,-1,RELA
3250,SP1,1,HDAC4
3251,PSMC3,1,CDKN2A
3252,PSMC3,1,CDKN2A
3253,ATM,1,TERF1
3255,CREBBP,1,HNF1A
3256,ATM,1,RAD17
3263,CDKN2C,-1,CDK4
3264,MYC,1,EIF4E
3265,MYC,1,CUL1
3271,SP1,1,CDKN1A
3272,KAT2B,1,HNF1A
3276,PSME3,-1,CDKN2A
3277,PSME3,-1,CDKN2A
3281,SHC1,-1,FOXO3
3286,APEX1,1,RELB
3288,ATM,1,NBN
3289,PSME3,-1,NCOA3
3291,TP53,1,APAF1
3292,MAPK3,1,SHC1
3293,TP53,1,BAX
3300,AR,1,KLK2
3303,TP53,1,GADD45A
3310,E2F1,1,TP73
3312,USP7,1,CLSPN
3320,ATM,1,RAD9A
3323,LMO4,-1,BRCA1
3326,ATM,1,CHEK2
3327,GSK3B,-1,HSF1
3331,UBE2I,-1,SOX4
3332,SENP3,1,EP300
3336,SUMO1,1,SMAD4
3342,UBE2I,1,SUMO1
3347,FYN,-1,NFE2L2
3349,CREBBP,1,RELA
3350,HDAC3,-1,CREBBP
3352,CREBBP,1,NFE2L2
3353,SUMO1,1,TRAF6
3355,PPP1R1B,-1,PPP1CA
3357,TRAF6,-1,MYB
3368,SUMO1,1,ZBTB16
3369,HDAC3,-1,MAFK
3371,CDK2,-1,ZBTB16
3375,CDK5,1,ATM
3377,EP300,1,ZBTB16
3379,CDK5,-1,CDK5R1
3383,HUWE1,1,MYC
3388,AKT1,1,NUAK1
3393,CDKN2A,-1,HUWE1
3394,CDKN2A,-1,HUWE1
3395,ATR,1,CEP164
3397,ATM,1,CEP164
3400,CCNA2_CDK2,1,RBBP8
3401,CDK9,1,POLR2A
3402,PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,1,TP53
3406,CDK1,1,MCM3
3407,ATR,1,UIMC1
3408,AKT1,1,XIAP
3409,ATM,1,DCLRE1A
3411,CCNA2_CDK2,1,ATRIP
3414,BAZ1B,1,H2AX
3420,CDK1,1,RPA2
3421,ATR,1,FANCA
3424,IGF1,-1,IRS1
3426,PPP1CA,1,RB1
3427,CDK2,-1,LIG3
3428,HNRNPK,1,MDM2
3429,MDM2,-1,HNRNPK
3430,DCLRE1B,1,TERF2
3431,MEN1,-1,DBF4
3433,CTSB,1,BID
3434,GZMB,1,BID
3442,CYCS,1,APAF1
3450,ABL1,1,PRKD1
3451,DTL,-1,KMT5A
3452,ABL1,-1,PLCG1
3453,ABL1,1,PLSCR1
3454,TCL1A,1,AKT3
3456,PDK2,1,AKT3
3457,AKT3,-1,AKT1S1
3461,FOXO1,1,CDKN2B
3462,GNRHR,1,GNAS
3466,FOXO1,1,CDKN1B
3467,GNRHR,1,GNA11
3468,ABL1,-1,MDM4
3474,GNRHR,1,GNAI1
3476,ABL1,1,NCOA3
3478,ABL1,1,NEDD9
3480,ABL1,1,NFKBIA
3481,ABL2,1,NFKBIB
3482,GNA11,1,PLCB2
3484,ABL1,1,MUC1
3485,ABL1,-1,MYOD1
3489,ABL1,1,NCK1
3495,FOXM1,1,SKP2
3500,FOXM1,1,MYC
3502,ABL1,1,HSPA1A
3506,ABL1,1,JAK2
3509,ABL1,1,IRS1
3510,ABL1,1,MAP3K1
3528,ABL1,-1,ERCC3
3529,ABL1,1,ERCC6
3533,ABL1,1,ESR1
3534,ABL1,1,RACK1
3535,ABL1,1,GPX1
3537,ABL2,1,GPX1
3541,ABL1,1,HCLS1
3542,ABL1,1,ARHGAP35
3545,FOXM1,1,CENPA
3547,ABL1,1,ENAH
3548,FOXM1,1,CENPB
3549,AURKA,1,TACC1
3550,ABL1,1,EGFR
3552,AURKA,1,KIF11
3553,ABL1,1,DNM2
3554,AURKA,1,CPEB1
3555,ABL1,-1,DDB2
3557,ABL2,1,CTTN
3558,AURKB,1,INCENP
3560,ABL1,1,CTTN
3563,CDK1,1,FOXM1
3565,AURKA,1,TPX2
3569,AURKA,1,MAP9
3579,PRKCD,1,ELAVL1
3580,ABL1,1,CD19
3587,ABL1,1,CHRNB1
3588,FOXM1,1,CCND1
3593,ABL1,1,CAV1
3595,ABL2,1,CAT
3601,HDAC6,-1,ELAVL1
3612,PRKCD,1,ADCY7
3618,ATM,1,RAD50
3620,ABL1,1,CTNND1
3625,ELAVL1,1,PTGS2
3632,FOXL2,1,IER3
3633,FOXL2,1,CH25H
3635,FOXL2,1,SIRT1
3637,FOXL2,1,TNFAIP3
3639,FOXL2,1,SOD2
3646,CHFR,-1,PLK1
3651,STK4,1,FOXO3
3653,ATM,1,TOPBP1
3654,KMT2A,1,HOXA7
3659,KMT2A,1,MYC
3673,FOXL2,1,BCL2A1
3674,FOXL2,1,ATF3
3679,KMT2A,1,HOXC8
3680,KMT2A,1,HOXA9
3700,SP1,-1,CCNB1
3701,ING1,1,HDAC1
3709,AURKB,-1,BIRC5
3710,SP1,1,NOS3
3713,NEK2,1,CTNNB1
3730,EZH2,-1,CDH1
3731,AURKB,1,KIF23
3732,AURKB,1,RACGAP1
3733,AURKB,-1,VIM
3734,AURKB,-1,REC8
3735,NEK2,1,NEK11
3739,BAZ2A_SMARCA5,1,HDAC1
3741,RPL11,-1,MYC
3742,ABL1,1,WASF2
3747,ABL1,1,WASF3
3748,ABL1,1,TRIP10
3749,SRC,1,PIK3CA
3751,ABL1,1,SYNJ2
3754,ABL1,1,TUB
3755,ABL1,1,STAT5B
3757,ABL1,1,STAT6
3758,KAT7,1,MCM2
3761,ABL1,1,STAT5A
3762,ABL1,1,STAT3
3763,ABL1,1,SOS1
3764,ABL1,1,SORBS3
3765,ABL2,1,SORBS2
3767,ABL1,1,SORBS2
3768,SRC,1,SORBS1
3770,ABL2,1,SIVA1
3778,ABL2,1,RIN1
3780,CARM1,1,PPARG
3781,ABL1,1,SHC1
3785,TTI1,1,MTOR
3791,ABL1,1,RAPH1
3794,ABL1,-1,RB1
3797,ABL2,1,RAPH1
3799,ABL1,1,RIN1
3804,PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,1,ULK1
3807,ABL1,1,RAD52
